X	Y	D	C
145.015	134.578	233.655	1
95.2175	200.851	19.276	1
157.492	189.957	19.2717	1
107.922	130.254	19.2235	1
123.123	99.3977	19.1406	1
92.7904	138.174	19.1364	1
170.958	197.826	19.0294	1
151.197	178.78	19.0232	1
149.192	235.405	19.0023	1
155.66	97.1044	18.9971	1
141.578	91.3444	18.975	1
138.756	89.1983	18.9613	1
109.682	155.432	18.876	1
105.685	153.197	18.8079	1
155.326	185.493	18.7967	1
182.204	225.024	18.7915	1
159.653	212.408	18.7807	1
132.428	120.347	18.7622	1
149.999	259.842	18.7617	1
153.071	154.895	18.744	1
137.984	111.612	18.7279	1
89.3984	190.718	18.7191	1
108.306	130.596	18.7056	1
131.631	147.625	18.6835	1
149.358	234.981	18.647	1
124.371	198.865	18.5195	1
134.444	238.23	18.4923	1
146.529	102.707	18.4605	1
111.248	163.095	18.4452	1
137.464	228.26	18.4363	1
169.932	242.767	18.3987	1
116.469	114.414	18.3371	1
124.739	198.359	18.3171	1
144.685	112.827	18.2187	1
123.933	155.871	18.1275	1
129.808	196.684	18.0947	1
152.567	179.521	18.0432	1
137.167	90.1523	18.0427	1
151.102	178.904	17.9828	1
131.998	253.861	17.9776	1
132.333	120.346	17.9036	1
93.1897	167.431	17.8794	1
128.343	130.16	17.8537	1
143.511	116.166	17.8459	1
109.119	173.535	17.7813	1
160.699	237.198	17.764	1
149.025	175.252	17.7419	1
87.9991	175.167	17.6031	1
92.7695	152.056	17.5697	1
101.61	174.389	17.5674	1
108.808	150.565	17.5583	1
152.514	172.403	17.5239	1
150.982	178.733	17.4705	1
136.426	126.904	17.4108	1
132.088	139.723	17.3702	1
109.689	217.846	17.3566	1
132.504	118.421	17.3023	1
119.004	137.598	17.1688	1
135.07	122.091	17.1659	1
144.236	137.218	17.1345	1
127.237	211.815	17.095	1
124.33	132.577	17.0686	1
142.741	184.654	17.0455	1
109.853	217.627	17.0117	1
76.2996	167.239	16.9992	1
124.502	198.341	16.9424	1
145.295	128.799	16.9118	1
148.742	135.795	16.7207	1
119.254	220.134	16.6611	1
148.963	135.697	16.6551	1
139.092	139.308	16.6177	1
119.019	137.634	16.5738	1
89.3648	190.747	16.5717	1
147.028	140.344	16.537	1
148.924	175.211	16.5329	1
124.459	198.552	16.497	1
163.858	253.713	16.4941	1
108.364	154.672	16.4135	1
159.117	204.692	16.377	1
127.528	164.643	16.3616	1
111.682	110.318	16.325	1
92.4459	163.454	16.3187	1
148.915	175.404	16.2956	1
109.299	146.916	16.2831	1
109.381	147.219	16.2678	1
125.964	131.075	16.2614	1
96.702	207.706	16.2457	1
162.41	134.355	16.2074	1
141.21	139.536	16.1781	1
91.2739	120.701	16.0583	1
91.1535	120.196	16.0483	1
137.143	137.43	15.9854	1
120.328	114.221	15.9519	1
76.1332	166.71	15.9348	1
180.432	150.174	15.9217	1
141.453	201.216	15.9143	1
134.433	121.415	15.9062	1
150.107	100.194	15.8666	1
99.306	191.932	15.8435	1
137.967	228.906	15.8092	1
148.397	117.231	15.7973	1
107.921	115.885	15.6798	1
123.918	155.87	15.6651	1
112.409	148.029	15.6453	1
149.339	91.1665	15.6065	1
134.996	122.111	15.5486	1
138.944	111.088	15.4813	1
96.1702	154.908	15.4202	1
135.451	192.244	15.3989	1
152.486	179.697	15.3957	1
104.677	153.421	15.3777	1
121.136	203.703	15.3583	1
118.278	126.88	15.2768	1
141.441	202.405	15.2616	1
117.733	123.605	15.2198	1
142.962	130.504	15.2109	1
135.159	131.148	15.2013	1
146.222	118.178	15.1636	1
153.66	131.074	15.1566	1
133.561	190.744	15.1332	1
119.208	220.085	15.1101	1
108.569	150.441	15.101	1
151.965	123.374	15.0885	1
103.084	170.054	15.0813	1
103.969	141.773	15.0244	1
134.917	138.691	14.9751	1
140.073	137.72	14.9363	1
115.522	122.166	14.8672	1
128.179	210.778	14.8121	1
160.836	236.469	14.7633	1
156.222	141.947	14.7532	1
105.571	175.516	14.7325	1
174.205	224.544	14.6641	1
109.972	139.183	14.6546	1
140.553	138.356	14.6297	1
154.491	197.426	14.6274	1
137.338	126.34	14.6077	1
139.141	139.473	14.5455	1
117.417	190.044	14.5038	1
123.954	155.979	14.4869	1
